City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,cabo san lucas,22.8909,-109.9124,85.3,61,0,0.0,MX,1670193569
84,cubara,7.0008,-72.1085,72.57,96,82,2.1,CO,1670193753
85,carnarvon,-24.8667,113.6333,70.59,75,34,16.31,AU,1670193753
86,vaini,-21.2,-175.2,78.96,89,75,11.5,TO,1670193754
87,artyom,40.4723,50.333,35.74,55,100,10.89,AZ,1670193754
88,henties bay,-22.116,14.2845,58.41,91,2,8.25,NA,1670193755
89,zhengjiatun,43.5064,123.5064,9.41,57,0,7.2,CN,1670193755
90,puerto ayora,-0.7393,-90.3518,78.76,88,76,5.99,EC,1670193755
91,kirakira,-10.4544,161.9205,82.35,78,100,10.13,SB,1670193756
92,upernavik,72.7868,-56.1549,20.82,66,98,6.93,GL,1670193756
93,geraldton,-28.7667,114.6,64.81,88,5,9.22,AU,1670193757
94,moree,-29.4667,149.85,76.82,43,0,5.75,AU,1670193757
95,lebu,-37.6167,-73.65,58.71,80,0,13.49,CL,1670193758
96,kavieng,-2.5744,150.7967,80.38,78,100,9.46,PG,1670193758
97,itoman,26.1247,127.6694,71.62,92,75,4.61,JP,1670193758
98,lavrentiya,65.5833,-171.0,32.52,98,100,31.61,RU,1670193759
99,surt,31.2089,16.5887,68.29,51,47,5.44,LY,1670193759
100,avarua,-21.2078,-159.775,82.45,83,100,9.22,CK,1670193760
101,samarkand,39.6542,66.9597,27.82,93,100,2.3,UZ,1670193760
102,namibe,-15.1961,12.1522,69.21,84,95,6.89,AO,1670193760
103,berlevag,70.8578,29.0864,22.95,74,20,13.8,NO,1670193761
104,leningradskiy,69.3833,178.4167,12.87,93,100,9.62,RU,1670193761
105,lokosovo,61.1333,74.8167,-10.12,100,91,1.68,RU,1670193762
106,chifeng,42.2683,118.9636,9.97,44,0,6.78,CN,1670193553
107,pangnirtung,66.1451,-65.7125,29.75,81,100,12.37,CA,1670193762
108,castro,-24.7911,-50.0119,65.64,97,100,4.12,BR,1670193763
109,burnie,-41.0667,145.9167,66.94,62,19,6.15,AU,1670193763
110,ponta do sol,32.6667,-17.1,64.0,83,99,18.61,PT,1670193764
111,mandalgovi,45.7625,106.2708,1.62,50,4,5.77,MN,1670193764
112,riberalta,-10.9833,-66.1,86.2,62,75,11.5,BO,1670193765
113,tuatapere,-46.1333,167.6833,55.87,75,100,5.35,NZ,1670193765
114,hambantota,6.1241,81.1185,75.97,87,100,5.06,LK,1670193766
115,malanje,-9.5402,16.341,62.78,99,100,2.68,AO,1670193766
116,nikolskoye,59.7035,30.7861,24.69,95,100,8.03,RU,1670193766
117,naryan-mar,67.6713,53.087,5.49,88,5,8.57,RU,1670193767
118,jimma,7.6667,36.8333,60.08,75,67,0.67,ET,1670193767
119,tete,-16.1564,33.5867,87.89,51,0,6.91,MZ,1670193768
120,guerrero negro,27.9769,-114.0611,67.32,77,100,13.04,MX,1670193768
121,eyl,7.9803,49.8164,75.07,73,97,16.13,SO,1670193769
122,palu,-0.8917,119.8707,77.31,90,98,2.28,ID,1670193769
123,manakara,-22.1333,48.0167,73.47,87,100,4.54,MG,1670193770
124,isangel,-19.55,169.2667,87.91,74,100,6.91,VU,1670193770
125,korla,41.7597,86.1469,20.79,37,66,1.59,CN,1670193770
126,thompson,55.7435,-97.8558,-16.44,76,20,6.91,CA,1670193771
127,phibun mangsahan,15.2447,105.2291,71.58,87,97,7.43,TH,1670193771
128,fare,-16.7,-151.0167,80.13,73,4,13.91,PF,1670193772
129,rezekne,56.5,27.3167,22.17,89,100,9.64,LV,1670193772
130,dikson,73.5069,80.5464,28.69,86,100,21.05,RU,1670193773
131,la seyne-sur-mer,43.0982,5.8847,52.88,89,54,1.01,FR,1670193773
132,hervey bay,-25.2986,152.8535,74.21,70,31,10.49,AU,1670193774
133,manaus,-3.1019,-60.025,88.29,58,20,5.75,BR,1670193492
134,aykhal,66.0,111.5,-14.73,97,100,23.87,RU,1670193774
